numentre,satis_dem,creenciasS,etnia,estrato,partido_pol,conf_inst,confianza_binaria
488,3,3,6,5,30,10,1
489,3,2,4,3,50,10,1
492,4,1,4,5,0,10,1
495,2,1,4,5,30,"4,375",0
497,4,3,7,3,30,10,1
498,3,1,4,5,0,"8,875",1
499,3,1,6,5,0,"8,3125",1
500,4,3,5,2,0,10,1
502,4,1,5,5,0,"4,9375",0
503,3,1,3,2,50,"8,875",1
505,2,1,6,4,30,"9,4375",1
507,4,3,4,5,0,10,1
509,4,1,4,4,0,10,1
510,3,2,6,3,0,10,1
511,3,1,4,5,0,"8,3125",1
512,3,1,4,4,0,"7,75",0
514,4,3,2,3,30,"9,4375",1
515,2,1,4,3,30,"6,625",0
516,3,3,4,3,0,"7,75",0
518,3,1,5,4,0,"7,1875",0
519,4,1,2,5,0,10,1
520,4,1,4,4,0,"8,875",1
521,3,1,4,4,0,"8,3125",1
522,3,3,3,4,0,10,1
523,3,1,4,3,0,10,1
524,3,1,6,3,50,10,1
525,4,3,2,5,0,10,1
526,3,1,6,5,30,10,1
527,3,1,4,4,0,"7,1875",0
529,1,1,4,4,0,"8,3125",1
530,4,1,4,3,30,10,1
531,4,2,4,5,30,"8,3125",1
532,3,1,3,4,0,"8,875",1
534,3,3,4,3,30,"7,75",0
535,2,2,6,3,30,"7,75",0
536,3,3,4,4,0,"5,5",0
537,3,1,7,5,0,"7,1875",0
543,4,2,4,5,0,"8,3125",1
546,3,3,6,2,0,"7,1875",0
549,3,2,5,3,30,"8,3125",1
551,3,3,3,3,30,"6,625",0
552,4,2,4,3,0,10,1
553,2,1,3,3,30,"8,875",1
554,4,3,4,3,30,10,1
555,3,2,2,1,50,"8,3125",1
556,3,2,4,5,0,10,1
557,3,2,4,5,30,"8,3125",1
558,3,3,4,3,0,"8,3125",1
559,3,1,4,5,0,"6,625",0
560,4,1,4,2,0,10,1
562,3,3,6,5,0,10,1
563,4,3,2,3,0,10,1
564,4,1,6,3,0,"8,875",1
565,3,1,5,1,50,"7,75",0
566,4,3,6,3,0,"8,3125",1
568,1,3,5,5,0,10,1
569,3,1,4,3,0,"8,3125",1
570,3,1,7,4,0,"9,4375",1
571,4,1,3,3,30,"8,875",1
572,3,1,3,3,0,"6,625",0
573,3,3,3,4,70,"6,625",0
574,4,1,3,3,30,"7,1875",0
575,3,1,3,5,50,"8,3125",1
576,4,3,3,1,0,"7,1875",0
577,4,3,3,4,30,"7,75",0
578,3,2,3,5,30,"7,75",0
579,3,3,3,3,50,"7,75",0
581,4,3,3,1,0,"5,5",0
582,4,3,3,2,0,"9,4375",1
583,1,3,3,3,30,"6,625",0
584,4,3,3,4,0,"9,4375",1
585,3,2,3,4,0,"8,875",1
586,3,1,3,3,0,"9,4375",1
587,3,3,3,5,0,"8,3125",1
588,3,1,5,3,50,"8,875",1
589,3,2,2,4,30,"8,3125",1
590,1,2,3,4,0,"7,1875",0
591,4,3,3,2,0,"8,875",1
592,3,3,3,4,0,"6,625",0
593,1,1,3,4,0,"7,75",0
595,3,1,3,4,30,"8,3125",1
597,2,1,3,3,50,"8,3125",1
598,3,3,3,3,30,"7,1875",0
599,3,2,3,5,50,"7,75",0
600,3,3,3,3,0,"7,75",0
601,1,1,3,1,30,"7,75",0
602,3,3,3,3,0,"7,75",0
603,1,3,3,4,30,"3,25",0
604,1,2,3,4,30,"3,25",0
605,3,1,3,5,30,10,1
607,3,3,3,2,50,"7,1875",0
609,4,2,3,1,30,"9,4375",1
610,3,1,3,4,0,"9,4375",1
611,4,3,2,4,0,10,1
612,4,1,4,4,0,"9,4375",1
613,2,3,4,3,0,"7,75",0
615,4,1,5,3,0,10,1
616,3,3,2,3,0,"9,4375",1
619,3,1,6,4,30,"8,875",1
620,4,3,6,3,0,10,1
621,3,1,2,3,0,"8,3125",1
623,2,3,2,3,0,"6,625",0
624,4,3,4,3,0,"7,75",0
625,3,3,2,5,0,"8,875",1
627,4,1,4,5,0,"8,3125",1
628,3,1,3,3,0,"7,75",0
629,2,1,6,4,0,"8,3125",1
630,4,3,2,3,0,"8,3125",1
631,3,1,5,4,0,"6,625",0
634,4,1,4,4,0,10,1
635,3,1,4,4,0,10,1
636,4,3,4,3,0,10,1
639,1,1,6,2,0,10,1
640,3,1,4,3,30,"7,1875",0
641,3,1,4,4,0,"8,875",1
642,3,2,6,4,0,"9,4375",1
643,4,2,4,4,30,"7,75",0
644,4,1,6,3,30,10,1
646,1,1,4,3,30,"6,625",0
647,2,3,4,3,0,"7,1875",0
648,3,3,2,3,0,"8,875",1
649,3,1,4,2,30,"6,0625",0
650,3,2,4,3,50,"9,4375",1
651,1,1,6,4,0,"8,3125",1
652,3,2,4,3,0,10,1
653,4,1,2,5,0,10,1
654,4,1,4,5,0,"9,4375",1
656,4,1,4,4,0,10,1
657,3,3,4,4,50,"8,875",1
658,3,2,2,3,0,"8,3125",1
659,4,1,1,4,0,10,1
661,4,1,4,3,50,10,1
663,3,1,4,4,30,"6,0625",0
664,1,3,4,1,50,"4,9375",0
665,1,3,3,1,50,"8,3125",1
666,3,1,2,4,0,"8,3125",1
667,4,1,4,1,50,"8,875",1
670,3,1,4,3,0,"6,0625",0
671,3,3,4,4,0,10,1
672,4,1,4,4,0,"7,75",0
673,3,1,4,3,0,"7,75",0
674,3,3,4,3,0,"9,4375",1
675,3,3,3,4,30,"7,1875",0
676,3,2,4,5,0,"7,1875",0
677,3,1,4,3,0,"7,75",0
678,4,3,6,3,50,10,1
679,2,2,6,2,0,"6,625",0
680,3,3,4,3,0,"7,75",0
681,2,1,1,2,0,10,1
682,4,1,5,5,0,10,1
683,3,1,4,1,0,"7,1875",0
684,4,3,4,5,0,10,1
685,2,3,3,3,0,10,1
686,4,1,4,3,0,"8,875",1
687,2,1,6,5,50,"9,4375",1
688,3,2,4,4,30,"9,4375",1
689,4,1,6,1,0,"9,4375",1
690,1,1,4,4,0,"3,25",0
692,1,3,4,4,30,"3,25",0
693,2,3,6,4,30,"9,4375",1
694,3,1,4,5,50,"8,3125",1
695,3,3,3,2,0,"7,1875",0
696,4,1,4,3,0,10,1
697,4,1,5,3,30,"7,75",0
698,3,3,4,4,0,"8,3125",1
699,3,3,4,4,0,"9,4375",1
700,3,3,4,3,0,"7,75",0
701,1,3,4,1,30,"6,625",0
703,2,1,4,4,0,"5,5",0
704,3,1,6,2,0,"3,25",0
705,1,1,6,4,30,"4,375",0
706,4,3,6,3,0,"9,4375",1
707,3,2,4,3,30,"6,0625",0
708,4,1,5,4,30,"8,875",1
709,4,1,3,1,50,"6,0625",0
710,1,3,4,2,30,"7,75",0
711,1,2,6,3,50,"8,3125",1
712,3,1,6,2,0,"7,1875",0
714,4,2,4,4,30,"7,75",0
715,3,2,4,4,0,"7,1875",0
716,1,2,6,3,30,"6,0625",0
717,3,2,5,4,0,"9,4375",1
718,3,3,3,3,50,"5,5",0
719,3,1,6,3,30,"8,3125",1
720,3,1,6,3,50,"8,875",1
721,4,1,6,5,30,10,1
722,3,1,6,4,30,10,1
723,4,1,6,4,0,10,1
724,4,1,2,4,0,"2,6875",0
725,4,2,4,2,0,"8,3125",1
726,4,1,3,5,0,"8,875",1
727,3,1,6,3,0,"8,3125",1
728,3,1,4,3,0,"7,75",0
729,3,1,4,3,30,"6,0625",0
731,3,3,4,4,0,10,1
733,3,3,4,3,0,10,1
734,3,1,4,4,0,"8,875",1
735,3,1,4,3,0,"8,875",1
736,4,1,3,3,0,10,1
737,4,3,6,4,0,10,1
738,3,1,4,5,0,"8,875",1
739,4,2,5,2,0,"8,3125",1
740,3,3,6,3,0,10,1
741,4,1,5,4,0,10,1
743,3,3,6,5,0,10,1
744,2,3,3,3,0,"7,75",0
745,4,3,4,3,0,10,1
746,4,1,3,5,0,10,1
747,4,2,4,5,0,10,1
748,3,3,4,3,0,10,1
749,4,3,6,3,0,10,1
751,4,1,6,5,30,10,1
752,3,2,4,4,0,"8,875",1
753,3,1,4,5,0,"6,625",0
754,3,1,5,3,0,"7,75",0
756,4,1,4,5,0,10,1
757,4,3,4,4,30,"7,75",0
758,3,1,4,2,0,"5,5",0
760,3,1,4,3,0,"8,3125",1
761,4,1,4,4,0,"8,3125",1
762,1,1,6,1,30,"6,625",0
763,2,1,6,3,0,"9,4375",1
764,4,3,5,5,0,"7,75",0
765,4,3,4,5,50,"6,625",0
766,4,3,4,4,0,"8,875",1
767,4,1,4,5,0,"9,4375",1
768,1,1,6,3,30,"6,0625",0
769,1,2,4,1,0,"6,0625",0
770,3,1,6,4,0,"6,625",0
771,3,1,4,3,0,"7,75",0
772,3,3,4,3,30,"8,3125",1
773,3,2,4,3,0,"7,1875",0
775,2,1,6,3,0,"7,75",0
776,4,1,6,1,0,"7,75",0
777,3,1,4,5,0,"8,3125",1
778,4,1,4,3,0,"7,1875",0
779,1,1,4,3,0,"9,4375",1
780,2,3,5,4,30,"8,3125",1
781,3,1,4,3,0,"8,3125",1
782,3,1,3,4,0,"7,75",0
783,4,3,4,4,30,10,1
784,4,1,4,4,0,"8,875",1
785,1,3,6,3,30,"8,3125",1
786,4,3,6,3,0,"9,4375",1
787,4,1,4,3,30,"8,3125",1
788,4,1,6,5,0,"7,75",0
789,1,1,5,5,0,10,1
790,4,1,4,4,30,10,1
791,1,1,4,5,0,"9,4375",1
794,3,3,3,5,0,10,1
795,1,1,3,5,50,"6,0625",0
796,4,3,4,3,0,10,1
797,4,1,4,4,0,"9,4375",1
798,2,1,6,4,30,"8,875",1
799,3,3,4,2,30,"7,75",0
801,3,1,3,3,0,"5,5",0
802,3,2,2,2,30,"8,3125",1
803,4,1,2,5,0,"8,3125",1
804,3,3,3,2,0,"8,3125",1
805,3,3,5,3,30,"8,875",1
806,3,3,2,2,0,"7,75",0
807,3,3,6,5,0,"8,875",1
808,4,1,2,3,0,10,1
810,3,3,2,3,0,"8,3125",1
811,2,2,2,3,30,"7,1875",0
813,4,1,3,5,30,"9,4375",1
814,4,3,3,3,50,"8,875",1
815,4,3,6,3,0,10,1
816,3,2,4,4,0,"8,875",1
817,4,3,4,2,30,"8,875",1
818,3,1,3,4,50,"8,3125",1
819,4,3,6,5,0,10,1
820,4,1,4,3,0,"8,875",1
821,1,1,2,3,30,"5,5",0
822,1,2,2,1,50,"5,5",0
823,1,3,2,2,30,"7,75",0
824,3,2,2,1,30,10,1
825,3,3,6,4,0,10,1
826,3,3,5,4,0,"8,875",1
827,4,1,4,3,0,"7,1875",0
829,4,3,4,4,50,"7,1875",0
830,4,2,4,3,30,"9,4375",1
831,1,1,4,3,0,"7,1875",0
832,4,1,4,4,0,"7,1875",0
834,3,3,4,4,0,"8,3125",1
835,3,1,4,3,0,"9,4375",1
836,3,1,7,4,0,"2,125",0
837,3,1,6,5,0,"8,3125",1
838,4,1,4,4,0,"9,4375",1
839,3,2,4,3,30,"7,75",0
840,3,1,4,4,30,"8,875",1
841,4,3,4,3,0,"8,875",1
845,2,1,1,3,0,"5,5",0
846,3,3,4,4,0,10,1
847,3,1,5,2,0,"8,875",1
848,3,1,4,3,30,"5,5",0
849,3,2,6,4,0,"7,75",0
851,4,3,6,3,30,"7,75",0
853,3,3,4,4,0,"8,3125",1
854,1,1,6,3,30,"4,375",0
855,4,3,6,3,30,10,1
856,4,2,6,3,0,"9,4375",1
857,4,3,4,5,0,"7,75",0
858,3,1,6,1,50,"3,8125",0
860,4,2,6,4,30,10,1
864,4,3,4,3,0,"9,4375",1
866,3,2,4,4,30,"8,875",1
867,3,3,4,3,0,"8,3125",1
869,1,2,6,3,0,10,1
870,4,3,4,5,0,"9,4375",1
871,3,2,4,4,30,"8,875",1
872,2,3,4,3,30,10,1
873,4,1,4,4,0,10,1
874,3,1,4,5,0,"8,875",1
875,3,3,6,4,0,"8,3125",1
876,3,1,4,3,0,"6,625",0
877,3,1,4,3,0,"7,1875",0
880,3,1,4,1,30,"8,875",1
881,4,1,4,4,0,"8,875",1
882,3,1,4,4,0,"7,75",0
883,3,1,3,5,0,"6,0625",0
884,3,1,6,3,0,"6,0625",0
885,3,1,4,4,30,"6,625",0
886,3,3,3,2,70,10,1
887,4,3,4,3,0,10,1
888,4,1,4,4,0,10,1
889,3,1,4,3,0,"7,75",0
891,4,1,4,4,0,10,1
892,4,3,4,3,30,"8,875",1
893,4,1,4,4,0,"7,1875",0
894,3,1,4,3,0,"7,1875",0
895,3,3,3,4,0,10,1
896,3,1,4,5,50,"8,875",1
897,3,3,4,5,0,"7,1875",0
898,2,3,6,5,50,"9,4375",1
899,3,3,7,4,0,"7,75",0
901,3,1,3,5,0,10,1
902,4,3,4,3,30,"6,0625",0
903,3,1,4,4,0,10,1
904,3,1,4,3,30,"7,75",0
905,4,1,4,5,0,10,1
906,3,1,4,4,0,"7,75",0
907,3,1,4,4,0,"8,875",1
908,1,1,4,3,30,10,1
909,3,1,4,3,30,"7,1875",0
910,4,3,4,1,0,"7,1875",0
911,3,1,4,4,0,"7,75",0
912,3,1,4,4,0,10,1
913,4,1,5,4,30,10,1
914,3,3,4,3,0,10,1
915,1,1,4,2,50,"7,75",0
917,3,3,4,3,0,"8,875",1
919,3,1,4,4,0,"7,75",0
920,3,3,4,3,0,"9,4375",1
921,4,1,4,3,0,"9,4375",1
922,4,1,4,3,0,10,1
923,3,1,4,3,0,"7,75",0
924,1,2,4,3,50,"5,5",0
925,3,3,4,3,0,"9,4375",1
926,3,1,6,3,0,"7,75",0
927,3,3,4,4,0,10,1
928,3,2,4,3,0,10,1
929,4,3,4,3,30,"8,875",1
930,2,1,5,5,30,"8,3125",1
931,3,2,4,4,0,"7,75",0
932,3,3,4,3,50,"9,4375",1
933,2,2,4,3,30,"5,5",0
934,4,3,4,3,0,"7,75",0
935,2,2,4,4,30,"8,875",1
937,2,1,4,5,0,"9,4375",1
938,4,1,6,2,0,"9,4375",1
939,2,3,6,5,0,10,1
940,4,2,6,5,30,"7,75",0
941,4,2,3,2,30,"5,5",0
942,3,1,3,4,0,"6,0625",0
943,3,1,3,3,0,"9,4375",1
944,3,3,3,3,0,"7,1875",0
945,3,1,3,2,30,"6,0625",0
946,1,1,3,3,30,"7,1875",0
947,3,1,3,4,0,"7,75",0
948,1,3,3,3,0,"7,75",0
949,3,1,3,4,0,"7,75",0
950,3,1,3,3,0,"8,875",1
951,3,3,3,3,30,"6,625",0
952,3,1,3,3,50,"8,3125",1
953,3,2,3,3,30,"5,5",0
954,2,3,3,2,0,"4,9375",0
956,4,3,3,2,0,"4,375",0
959,3,1,3,4,30,"5,5",0
960,3,1,3,5,0,"8,3125",1
962,1,2,3,3,30,"6,625",0
963,3,1,3,5,50,"7,1875",0
965,1,2,3,4,30,"6,625",0
966,3,1,3,2,30,"7,1875",0
969,1,3,3,2,30,"7,75",0
970,3,3,3,5,30,"6,0625",0
976,3,1,3,5,50,"8,3125",1
977,4,1,3,4,0,"7,75",0
978,3,3,3,3,0,"8,3125",1
979,3,3,3,4,0,"8,875",1
980,4,1,3,5,0,"8,875",1
981,3,3,3,3,0,"7,1875",0
982,3,3,3,3,30,"7,75",0
983,3,1,4,3,0,"8,3125",1
984,3,1,3,3,0,"8,3125",1
985,3,2,3,3,0,"8,3125",1
986,2,2,3,4,30,"8,3125",1
987,3,1,3,3,30,"6,0625",0
988,3,1,3,3,0,"7,75",0
989,2,1,3,5,0,"6,625",0
990,3,1,3,4,0,"9,4375",1
991,3,2,3,1,30,"8,875",1
992,1,1,3,3,70,"7,1875",0
993,4,1,3,3,0,"7,1875",0
995,3,2,3,4,30,"6,625",0
996,1,3,4,1,30,"8,875",1
997,1,1,3,3,30,"6,625",0
998,3,1,3,3,0,"7,1875",0
999,4,1,3,3,0,"7,1875",0
1000,3,1,3,3,0,"7,1875",0